iter	Passed	Remaining
0	209	209204
1	230	115202
2	253	84108
3	275	68667
4	322	64214
5	362	60108
6	403	57212
7	443	55007
8	482	53080
9	522	51703
10	568	51107
11	610	50292
12	635	48243
13	687	48432
14	786	51643
15	847	52146
16	913	52849
17	953	52044
18	996	51452
19	1034	50701
20	1074	50075
21	1115	49581
22	1153	49003
23	1187	48283
24	1200	46814
25	1221	45765
26	1244	44831
27	1265	43939
28	1288	43151
29	1341	43388
30	1373	42920
31	1396	42255
32	1420	41618
33	1441	40967
34	1464	40386
35	1486	39802
36	1512	39367
37	1534	38834
38	1555	38319
39	1577	37871
40	1600	37446
41	1622	37003
42	1644	36605
43	1666	36212
44	1687	35807
45	1707	35402
46	1736	35205
47	1757	34856
48	1793	34803
49	1835	34874
50	1855	34535
51	1876	34208
52	1898	33923
53	1922	33682
54	1944	33406
55	1964	33112
56	1986	32870
57	2007	32601
58	2029	32363
59	2051	32147
60	2073	31919
61	2094	31682
62	2115	31469
63	2135	31238
64	2171	31238
65	2193	31036
66	2213	30824
67	2234	30625
68	2255	30433
69	2276	30248
70	2302	30126
71	2322	29940
72	2356	29922
73	2377	29754
74	2398	29583
75	2423	29460
76	2448	29350
77	2487	29402
78	2511	29274
79	2545	29278
80	2563	29079
81	2578	28866
82	2586	28577
83	2593	28276
84	2598	27976
85	2604	27683
86	2610	27399
87	2616	27119
88	2623	26851
89	2630	26595
90	2635	26329
91	2643	26086
92	2649	25839
93	2655	25595
94	2661	25357
95	2667	25120
96	2673	24885
97	2678	24654
98	2683	24426
99	2689	24203
100	2694	23987
101	2700	23775
102	2706	23567
103	2711	23364
104	2717	23163
105	2722	22965
106	2729	22779
107	2735	22592
108	2741	22407
109	2747	22232
110	2753	22056
111	2759	21882
112	2766	21713
113	2771	21543
114	2777	21375
115	2783	21215
116	2789	21053
117	2795	20897
118	2801	20739
119	2807	20585
120	2813	20440
121	2820	20296
122	2826	20154
123	2832	20007
124	2838	19866
125	2843	19727
126	2849	19587
127	2855	19451
128	2861	19318
129	2867	19187
130	2873	19059
131	2878	18928
132	2884	18802
133	2890	18678
134	2895	18552
135	2902	18437
136	2909	18325
137	2914	18208
138	2920	18092
139	2926	17975
140	2931	17861
141	2937	17751
142	2943	17641
143	2949	17530
144	2955	17426
145	2961	17322
146	2967	17220
147	2975	17131
148	2985	17052
149	2992	16956
150	3000	16867
151	3006	16774
152	3012	16678
153	3018	16583
154	3024	16489
155	3031	16398
156	3036	16305
157	3042	16216
158	3048	16126
159	3054	16038
160	3061	15952
161	3066	15862
162	3070	15768
163	3075	15676
164	3079	15586
165	3084	15495
166	3088	15407
167	3093	15319
168	3097	15231
169	3101	15145
170	3106	15059
171	3110	14975
172	3115	14892
173	3121	14816
174	3125	14736
175	3132	14666
176	3137	14587
177	3141	14507
178	3145	14428
179	3149	14348
180	3153	14271
181	3158	14193
182	3162	14118
183	3166	14043
184	3172	13974
185	3177	13907
186	3182	13836
187	3187	13767
188	3192	13697
189	3196	13626
190	3201	13559
191	3205	13489
192	3209	13418
193	3213	13350
194	3217	13283
195	3222	13216
196	3226	13150
197	3230	13085
198	3234	13019
199	3238	12954
200	3242	12890
201	3246	12827
202	3250	12763
203	3255	12701
204	3259	12639
205	3263	12579
206	3267	12518
207	3272	12460
208	3279	12410
209	3283	12351
210	3287	12294
211	3292	12237
212	3297	12182
213	3301	12125
214	3306	12072
215	3312	12022
216	3316	11968
217	3321	11915
218	3327	11865
219	3332	11814
220	3336	11762
221	3341	11710
222	3345	11657
223	3349	11604
224	3353	11551
225	3358	11500
226	3362	11449
227	3367	11400
228	3373	11358
229	3378	11310
230	3382	11261
231	3388	11215
232	3392	11167
233	3396	11119
234	3401	11072
235	3407	11030
236	3411	10984
237	3416	10938
238	3421	10895
239	3425	10848
240	3431	10807
241	3436	10763
242	3440	10717
243	3444	10671
244	3448	10627
245	3453	10584
246	3457	10540
247	3461	10495
248	3466	10455
249	3470	10411
250	3475	10371
251	3480	10330
252	3485	10290
253	3489	10248
254	3493	10207
255	3498	10168
256	3503	10128
257	3508	10091
258	3513	10053
259	3518	10014
260	3522	9974
261	3527	9936
262	3531	9897
263	3536	9858
264	3540	9820
265	3545	9782
266	3549	9743
267	3554	9707
268	3558	9670
269	3563	9635
270	3568	9598
271	3573	9563
272	3578	9528
273	3583	9494
274	3588	9459
275	3592	9424
276	3597	9389
277	3601	9354
278	3606	9320
279	3610	9285
280	3615	9250
281	3619	9216
282	3624	9181
283	3628	9148
284	3633	9115
285	3638	9082
286	3642	9049
287	3647	9016
288	3652	8984
289	3656	8952
290	3661	8920
291	3665	8887
292	3670	8856
293	3675	8826
294	3681	8797
295	3688	8771
296	3693	8741
297	3697	8710
298	3703	8682
299	3707	8651
300	3712	8622
301	3717	8592
302	3721	8561
303	3727	8533
304	3731	8503
305	3736	8475
306	3742	8447
307	3747	8419
308	3751	8390
309	3756	8361
310	3761	8332
311	3767	8308
312	3772	8280
313	3777	8252
314	3781	8222
315	3785	8193
316	3790	8166
317	3795	8139
318	3800	8114
319	3805	8086
320	3810	8060
321	3815	8033
322	3820	8006
323	3824	7980
324	3829	7952
325	3834	7926
326	3838	7900
